R(x),Decomposable,P(x),Q(x)
-184623383940*x**15 - 584251215000*x**14 - 1428974933700*x**13 - 2763135553153*x**12 - 4226523636800*x**11 - 5636480605052*x**10 - 6447353102349*x**9 - 6378926520088*x**8 - 5593859493787*x**7 - 4247270240601*x**6 - 2799231273267*x**5 - 1602924149441*x**4 - 757410645874*x**3 - 290948953879*x**2 - 86707704785*x - 13829194149,1,60*x**5 - 13*x**4 + 47*x**3 - 80*x**2 + 30*x - 65,-79*x**3 - 50*x**2 - 59*x - 47
-8485765259*x**15 + 61386386980*x**14 - 238112340235*x**13 + 624594573280*x**12 - 1219663399230*x**11 + 1855778521816*x**10 - 2255867618502*x**9 + 2216881006384*x**8 - 1766440216487*x**7 + 1135422439198*x**6 - 580705126447*x**5 + 230558897940*x**4 - 68190743980*x**3 + 14028155290*x**2 - 1774098092*x + 102934315,1,-37*x**5 + 85*x**4 - 34*x**3 + 20*x**2 - 49*x + 10,47*x**3 - 68*x**2 + 67*x - 19
49833984375*x**15 - 162791015625*x**14 + 146268281250*x**13 + 288428681250*x**12 - 752489317125*x**11 + 377945064771*x**10 + 788142480150*x**9 - 1202685078230*x**8 + 179605652150*x**7 + 948673571900*x**6 - 741522528100*x**5 - 126808905494*x**4 + 441646489360*x**3 - 137684697312*x**2 - 71475893760*x + 54594083995,1,21*x**5 - 65*x**4 + 80*x**3 + 6*x**2 + 79*x + 66,75*x**3 - 49*x**2 - 20*x + 77
5355037376*x**15 - 44237265280*x**14 + 131041510080*x**13 - 87485275168*x**12 - 388165213568*x**11 + 884718025088*x**10 - 133528603456*x**9 - 1619048340544*x**8 + 1599650260864*x**7 + 916669600940*x**6 - 2187585479920*x**5 + 363315161672*x**4 + 1224609741578*x**3 - 591844113528*x**2 - 250501924894*x + 178787526360,1,-26*x**5 - 28*x**4 - 4*x**3 - 13*x**2 + 97*x,-46*x**3 + 76*x**2 + 26*x - 93
196608*x**15 - 3194880*x**13 - 7974912*x**12 + 20766720*x**11 + 103673856*x**10 + 61888512*x**9 - 505410048*x**8 - 1151784192*x**7 + 45665664*x**6 + 4028451648*x**5 + 5931299088*x**4 - 186094336*x**3 - 11084175960*x**2 - 13829694320*x - 6901351897,1,6*x**5 + 3*x**4 - 24*x**3 + 60*x**2 + 70*x + 28,8*x**3 - 26*x - 65
412128*x**15 - 6525360*x**14 + 11104560*x**13 + 268825320*x**12 - 938393130*x**11 - 4689141887*x**10 + 18165745664*x**9 + 45267030952*x**8 - 145376419334*x**7 - 226005416095*x**6 + 436706306584*x**5 + 172384420048*x**4 - 652405328914*x**3 + 457434582969*x**2 - 135884784376*x + 15173068832,1,53*x**5 + 35*x**4 - x**3 + 95*x**2 + 45*x - 51,6*x**3 - 19*x**2 - 88*x + 49
-4051428192*x**15 + 19292515200*x**14 - 45911592720*x**13 + 41467124160*x**12 + 33517695120*x**11 - 147716755520*x**10 + 131605818376*x**9 + 44111634080*x**8 - 218953449254*x**7 + 121910555020*x**6 + 76164164623*x**5 - 157615771320*x**4 + 10519795008*x**3 + 51998932485*x**2 - 35597400505*x - 22091597750,1,-31*x**5 + 5*x**4 + 52*x**3 - 59*x**2 - 94*x - 69,42*x**3 - 40*x**2 + 19*x + 59
122344148256*x**15 + 96980117520*x**14 - 610810984080*x**13 - 471640415816*x**12 + 1205167710154*x**11 + 911596506805*x**10 - 1156565479430*x**9 - 872429721245*x**8 + 511398263464*x**7 + 409751033836*x**6 - 53867994236*x**5 - 72298790675*x**4 - 17559819296*x**3 - 1956028958*x**2 - 106260740*x - 2285518,1,-33*x**5 - 56*x**4 + 42*x**3 + 9*x**2 - 97*x + 41,-82*x**3 - 13*x**2 + 86*x + 9
-231250*x**15 + 6243750*x**14 - 62576250*x**13 + 257449250*x**12 - 135617850*x**11 - 1619384682*x**10 + 1367270380*x**9 + 5582748204*x**8 + 1529547498*x**7 - 2944539180*x**6 - 726105438*x**5 + 850107528*x**4 + 14604409*x**3 - 115692273*x**2 + 27952869*x - 2060656,1,-74*x**5 + 94*x**4 - 46*x**3 + 52*x**2 - 81*x + 24,5*x**3 - 27*x**2 - 21*x + 8
-278942752080*x**15 - 516560652000*x**14 - 589261780800*x**13 - 1277036602623*x**12 - 1485984881160*x**11 - 1285818483384*x**10 - 1738612128789*x**9 - 1432361199762*x**8 - 951721408944*x**7 - 986866916661*x**6 - 563240299788*x**5 - 278528631948*x**4 - 241766634321*x**3 - 77396701710*x**2 - 25812657228*x - 20715899939,1,80*x**5 - 63*x**4 - 27*x**3 - 61*x**2 - 47*x + 13,-81*x**3 - 30*x**2 - 12*x - 48
-32302491*x**15 + 844834380*x**14 - 7807072455*x**13 + 25186629728*x**12 + 24087723218*x**11 - 183536539768*x**10 - 319545806997*x**9 + 473668032308*x**8 + 2394438563636*x**7 + 4218312252143*x**6 + 4521511009224*x**5 + 3288169015994*x**4 + 1659854955661*x**3 + 568057410091*x**2 + 120846624524*x + 12453167875,1,87*x**5 - 97*x**4 - 63*x**3 + 38*x**2 - 98*x - 76,-13*x**3 + 68*x**2 + 83*x + 43
3298324480*x**15 + 18740480000*x**14 + 48963763200*x**13 + 104558744576*x**12 + 205410656000*x**11 + 313179827072*x**10 + 424214511808*x**9 + 549861810944*x**8 + 571303086032*x**7 + 553959639464*x**6 + 517734136516*x**5 + 351541739672*x**4 + 256998736646*x**3 + 160655958439*x**2 + 47116074770*x + 40216404863,1,-20*x**5 + 56*x**4 - 34*x**3 + 83*x**2 + 62*x + 47,-44*x**3 - 50*x**2 - 17*x - 72
-3210830098*x**15 - 6489975730*x**14 - 8321413450*x**13 + 18365036197*x**12 + 36544522786*x**11 + 42186055108*x**10 - 51250484807*x**9 - 82339417320*x**8 - 80209639086*x**7 + 86834113733*x**6 + 87354375894*x**5 + 66409182702*x**4 - 82284831509*x**3 - 36353784418*x**2 - 19444294602*x + 32211384591,1,-14*x**5 + 37*x**4 - 87*x**3 + 98*x**2 + 34*x - 77,47*x**3 + 19*x**2 + 9*x - 74
103125*x**15 - 3609375*x**14 + 54140625*x**13 - 455933125*x**12 + 2381955625*x**11 - 8117344375*x**10 + 18710749250*x**9 - 30237901750*x**8 + 35239558375*x**7 - 30133990625*x**6 + 19016507125*x**5 - 8794127125*x**4 + 2910579875*x**3 - 655650625*x**2 + 90454000*x - 5794548,1,33*x**5 - 28*x**4 + 57*x**3 + 54*x**2 + 60*x + 76,5*x**3 - 35*x**2 + 35*x - 11
-660451885056*x**15 - 1031956070400*x**14 + 2416497131520*x**13 + 1664057032704*x**12 - 6365670612480*x**11 + 1173775258656*x**10 + 7878031103952*x**9 - 7069972644576*x**8 - 2227954388184*x**7 + 7095721437594*x**6 - 3833119730475*x**5 - 895532523765*x**4 + 2247083069383*x**3 - 1317622277007*x**2 + 380942897831*x - 48812394236,1,-81*x**5 - 6*x**4 - 65*x**3 + 12*x**2 - 55*x + 79,96*x**3 + 30*x**2 - 89*x + 57
-271394390592*x**15 + 452323984320*x**14 - 162372712320*x**13 - 539005019904*x**12 + 652752814272*x**11 - 107350974016*x**10 - 427618334000*x**9 + 330691680176*x**8 + 4589939120*x**7 - 153878993632*x**6 + 67911988064*x**5 + 12701508880*x**4 - 23630398524*x**3 + 4600117396*x**2 + 1744417680*x - 1138508039,1,94*x**5 - 44*x**4 + 90*x**3 + 48*x**2 + 90*x - 19,-78*x**3 + 26*x**2 + 8*x - 26
1394039808*x**15 - 14438269440*x**14 + 49609324800*x**13 - 19112276736*x**12 - 272118240576*x**11 + 526173912864*x**10 + 287546393776*x**9 - 1706001376944*x**8 + 814427189412*x**7 + 2229371108126*x**6 - 2351380313721*x**5 - 1006935716064*x**4 + 2191430770116*x**3 - 293223252248*x**2 - 723437153092*x + 286702974100,1,81*x**5 + 99*x**4 + 22*x**3 + 18*x**2 + 29*x + 91,28*x**3 - 58*x**2 - 41*x + 81
6240956130*x**15 - 43855367400*x**14 + 124955885700*x**13 - 237709493818*x**12 + 451010352112*x**11 - 717220866320*x**10 + 862086451448*x**9 - 1103418736912*x**8 + 1215323111408*x**7 - 969566422618*x**6 + 1023490867888*x**5 - 713668225032*x**4 + 352704030608*x**3 - 423741873000*x**2 + 16259395552*x - 106002341072,1,90*x**5 - 88*x**4 + 20*x**3 + 38*x**2 - 34*x - 82,37*x**3 - 52*x**2 + 2*x - 65
14024137500*x**15 + 1558237500*x**14 + 144985342500*x**13 + 48509199000*x**12 + 602582669100*x**11 + 334554521476*x**10 + 1294637030655*x**9 + 970856340213*x**8 + 1544907460446*x**7 + 1315144413793*x**6 + 1021557981726*x**5 + 736296816505*x**4 + 325980675942*x**3 + 78709703947*x**2 + 9668221131*x + 475764349,1,76*x**5 - 52*x**4 + 95*x**3 - 7*x**2 + 80*x + 11,45*x**3 + x**2 + 93*x + 23
309217920*x**15 - 6887126400*x**14 + 55595337600*x**13 - 176833452048*x**12 + 75958648128*x**11 + 276162603744*x**10 + 1133317957504*x**9 - 492095400240*x**8 - 4042607597184*x**7 - 9930258426272*x**6 - 13103708195520*x**5 - 12864406134672*x**4 - 8766992515072*x**3 - 4531822128000*x**2 - 1482750145536*x - 318662502439,1,60*x**5 - 33*x**4 + 64*x**3 - 96*x**2 - 39,22*x**3 - 98*x**2 - 82*x - 88
1644167168*x**15 + 22350397440*x**14 + 145165189120*x**13 + 591353321472*x**12 + 1675808117408*x**11 + 3471081923463*x**10 + 5380936854412*x**9 + 6291721415028*x**8 + 5523935624032*x**7 + 3584584979153*x**6 + 1673420854412*x**5 + 541489771321*x**4 + 116496114472*x**3 + 15753250979*x**2 + 1206065996*x + 39780833,1,-49*x**5 + 57*x**4 + 95*x**3 + 32*x**2 + 47*x - 37,-32*x**3 - 87*x**2 - 92*x - 15
544195584*x**15 - 6575696640*x**14 + 27096405120*x**13 - 24114876768*x**12 - 126731374956*x**11 + 310831574769*x**10 + 87203469402*x**9 - 893394821862*x**8 + 440882357616*x**7 + 1104981964092*x**6 - 1025667726216*x**5 - 537417809378*x**4 + 851761664304*x**3 - 34584904338*x**2 - 255396030964*x + 80574542564,1,9*x**5 + 37*x**4 + 14*x**3 + 12*x**2 + 67*x + 25,36*x**3 - 87*x**2 - 62*x + 97
-1107168750*x**15 - 6766031250*x**14 - 27610875000*x**13 - 81281070000*x**12 - 189795588750*x**11 - 363956111250*x**10 - 583342688250*x**9 - 791917490250*x**8 - 911639616750*x**7 - 887804527175*x**6 - 724872742650*x**5 - 486095287625*x**4 - 259582224555*x**3 - 104034901345*x**2 - 27387840510*x - 3438518544,1,-6*x**5 + 18*x**4 - 98*x**3 - 71*x**2 + 95*x - 42,45*x**3 + 55*x**2 + 90*x + 57
5351315625*x**15 - 10702631250*x**14 + 53750992500*x**13 - 79015763250*x**12 + 201966242400*x**11 - 220162933872*x**10 + 360507661065*x**9 - 283983516702*x**8 + 309784610016*x**7 - 162812986236*x**6 + 106388180816*x**5 - 29806421584*x**4 + 3955971273*x**3 - 271165738*x**2 + 9339868*x - 128318,1,29*x**5 - 77*x**4 - 81*x**3 + 21*x**2 + 53*x + 47,45*x**3 - 18*x**2 + 76*x - 5
18286016*x**15 + 515926880*x**14 + 5189123520*x**13 + 18214173376*x**12 - 27298599076*x**11 - 258159218090*x**10 + 52319310166*x**9 + 1396560944713*x**8 - 939418653472*x**7 - 1654940960798*x**6 + 841203860992*x**5 + 1130435979667*x**4 - 82433812270*x**3 - 362307307614*x**2 - 125945700354*x - 13646496462,1,34*x**5 - 99*x**4 - 30*x**3 + 28*x**2 + 66*x + 90,14*x**3 + 79*x**2 - 97*x - 52
98559132811*x**15 - 213299615785*x**14 + 125806155270*x**13 + 94415853146*x**12 - 160253233033*x**11 + 46187745491*x**10 + 46925351669*x**9 - 38099995405*x**8 + 1574959199*x**7 + 8654220563*x**6 - 3029778172*x**5 - 542026954*x**4 + 520569340*x**3 - 55552740*x**2 - 27690400*x + 6849098,1,73*x**5 - 54*x**4 + 95*x**3 - 60*x**2 + 98,67*x**3 - 29*x**2 - 8*x + 10
-307333070912*x**15 + 392006468000*x**14 + 160642650560*x**13 - 1374848864704*x**12 + 1044481149180*x**11 + 685977260666*x**10 - 2137924981498*x**9 + 936891915551*x**8 + 900877480144*x**7 - 1468228602006*x**6 + 323760927108*x**5 + 463456474990*x**4 - 446129568992*x**3 + 32779533003*x**2 + 80952712910*x - 47472793833,1,-34*x**5 - 79*x**4 + 78*x**3 - 15*x**2 + 92*x + 21,98*x**3 - 25*x**2 - 23*x + 67
-89344951184*x**15 - 90348827040*x**14 - 277475798400*x**13 - 685039874894*x**12 - 710287416432*x**11 - 1325572191696*x**10 - 1863516887250*x**9 - 1662902558604*x**8 - 2208849913080*x**7 - 2163528171130*x**6 - 1500630866856*x**5 - 1486834307688*x**4 - 1018379985539*x**3 - 450985272102*x**2 - 328361886480*x - 131539082935,1,16*x**5 - 94*x**4 + 90*x**3 - 68*x**2 - 35*x - 60,-89*x**3 - 18*x**2 - 48*x - 95
3543122*x**15 - 48315300*x**14 + 150802300*x**13 + 359071856*x**12 - 957729520*x**11 - 6041416480*x**10 - 68385878*x**9 + 40350431220*x**8 + 92536577980*x**7 - 883089030*x**6 - 395761436800*x**5 - 995444778800*x**4 - 1353615039437*x**3 - 1168828193990*x**2 - 611405916310*x - 164892609875,1,22*x**5 - 44*x**4 - 2*x**3 - 10*x**2 + 25*x + 19,11*x**3 - 30*x**2 - 70*x - 94
-975725676*x**15 + 12828985740*x**14 - 53557836660*x**13 + 31211565651*x**12 + 263212904808*x**11 - 259238166062*x**10 - 752348356723*x**9 + 234118569618*x**8 + 1235613876018*x**7 + 881104981292*x**6 + 216767606604*x**5 + 9122571211*x**4 + 106428364*x**3 - 998732*x**2 - 35035*x - 254,1,-68*x**5 - 89*x**4 + 87*x**3 - 48*x**2 + 82*x - 16,27*x**3 - 71*x**2 - 77*x - 1
-6280989*x**15 + 174154695*x**14 - 1805914110*x**13 + 7666725286*x**12 - 1802239769*x**11 - 79513517221*x**10 + 133193621847*x**9 + 309426148585*x**8 - 654027307483*x**7 - 527199688257*x**6 + 1387604454852*x**5 + 269999698364*x**4 - 1417103871106*x**3 + 236136809230*x**2 + 572350134664*x - 235092911861,1,39*x**5 - 74*x**4 - 73*x**3 + 14*x**2 + 26*x + 79,-11*x**3 + 61*x**2 + 44*x - 90
-12863465472*x**15 - 134481684480*x**14 - 667624488960*x**13 - 1969978689536*x**12 - 3614042212352*x**11 - 3699417126912*x**10 - 636728092992*x**9 + 3472922965312*x**8 + 3857454776256*x**7 + 58771267696*x**6 - 2507860560032*x**5 - 895584660112*x**4 + 896869319668*x**3 + 394835587780*x**2 - 338683038984*x + 55439498118,1,78*x**5 - 26*x**4 - 45*x**3 - 88*x**2 + 42*x + 87,-44*x**3 - 92*x**2 - 72*x + 59
-16054150490*x**15 + 138338956350*x**14 - 567345974650*x**13 + 1422078241326*x**12 - 2362082322242*x**11 + 2623966295190*x**10 - 1824382764639*x**9 + 569090641167*x**8 + 184384555694*x**7 - 218488563187*x**6 + 25300824250*x**5 + 32047846129*x**4 - 4620379643*x**3 - 4196423710*x**2 - 686321380*x - 35921550,1,-70*x**5 + 46*x**4 - 15*x**3 + 4*x**2 - 48*x + 42,47*x**3 - 81*x**2 + 53*x + 14
59433191262*x**15 - 331619980230*x**14 + 628161769440*x**13 - 526789381473*x**12 + 604320132786*x**11 - 959867835460*x**10 + 483753378442*x**9 - 305817146755*x**8 + 633775591562*x**7 - 52509846481*x**6 + 94012372250*x**5 - 222867391155*x**4 - 106623747944*x**3 - 94947580224*x**2 - 23285578056*x - 8346223234,1,38*x**5 + 77*x**4 + 66*x**3 + x**2 - 38*x - 82,69*x**3 - 77*x**2 - 26*x - 47
146780804480*x**15 - 585561720000*x**14 + 497187582400*x**13 + 1401470643792*x**12 - 3250449490600*x**11 + 673707341868*x**10 + 4807082631584*x**9 - 4970000910873*x**8 - 1560768959798*x**7 + 5495080339581*x**6 - 2132376142168*x**5 - 2088163090932*x**4 + 1980909132844*x**3 - 84626592462*x**2 - 481036174640*x + 165397073778,1,-20*x**5 + 27*x**4 - 33*x**3 + 12*x**2 + 86*x - 78,-94*x**3 + 75*x**2 + 56*x - 96
116376653*x**15 + 1776275230*x**14 + 12345274035*x**13 + 51156875717*x**12 + 138856849826*x**11 + 254504866952*x**10 + 310373478219*x**9 + 231679209752*x**8 + 75001565522*x**7 - 21937646755*x**6 - 20976116490*x**5 + 1712865413*x**4 + 2510952137*x**3 - 702583533*x**2 + 71278634*x - 2583476,1,47*x**5 + 32*x**4 + 25*x**3 - 8*x**2 - 76*x + 64,19*x**3 + 58*x**2 + 49*x - 9
-6453888*x**15 - 69148800*x**14 - 217983360*x**13 + 93277968*x**12 + 1583117760*x**11 + 1355182368*x**10 - 4170889752*x**9 - 5429990232*x**8 + 5013810096*x**7 + 8114092520*x**6 - 1818712368*x**5 - 5610694376*x**4 - 1040035466*x**3 + 1387511342*x**2 + 721389118*x + 102502375,1,-12*x**5 + 93*x**4 + 63*x**3 + 17*x**2 + 58*x - 92,14*x**3 + 30*x**2 - 34*x - 23
1504*x**15 + 297040*x**14 + 23202960*x**13 + 885219512*x**12 + 15843918406*x**11 + 80923122281*x**10 - 580012631266*x**9 + 891590044457*x**8 - 109768248350*x**7 - 610540731507*x**6 + 151699445682*x**5 + 222926666372*x**4 - 9262439594*x**3 - 42169681423*x**2 - 11292908410*x - 929049405,1,47*x**5 + 52*x**4 + 77*x**3 + 89*x**2 + 31*x - 11,2*x**3 + 79*x**2 - 70*x - 29
22422749184*x**15 + 193863352320*x**14 + 887664476160*x**13 + 2614755151872*x**12 + 5415953451648*x**11 + 7998112394504*x**10 + 8301331544856*x**9 + 5450713774635*x**8 + 1494967412196*x**7 - 820923381696*x**6 - 680459468502*x**5 - 8316862213*x**4 + 179351882958*x**3 - 56039674712*x**2 + 6714169782*x - 290745068,1,-88*x**5 - 53*x**4 - 82*x**3 - 26*x**2 + 66*x + 12,-48*x**3 - 83*x**2 - 93*x + 20
9059118750*x**15 + 32118693750*x**14 + 57079935000*x**13 + 131783126750*x**12 + 241520932950*x**11 + 300018885082*x**10 + 450069652900*x**9 + 568529102658*x**8 + 509421630912*x**7 + 591408120083*x**6 + 528780794214*x**5 + 321220696767*x**4 + 322105557603*x**3 + 170590674259*x**2 + 54484549070*x + 63121022764,1,18*x**5 + 8*x**4 + 28*x**3 - 53*x**2 - 35*x - 2,55*x**3 + 39*x**2 + 14*x + 81
11695104*x**15 - 350853120*x**14 + 4258967040*x**13 - 26775961344*x**12 + 94671714816*x**11 - 210181160448*x**10 + 394868439936*x**9 - 664444162944*x**8 + 718042915200*x**7 - 1078350729312*x**6 + 668005811264*x**5 - 955957932112*x**4 + 313469514888*x**3 - 441934104808*x**2 + 59062625140*x - 83638789850,1,47*x**5 + 46*x**4 + 24*x**3 - 72*x**2 - 73*x - 46,12*x**3 - 72*x**2 + 10*x - 71
287054786746*x**15 - 1025195666950*x**14 + 1164892658930*x**13 - 1173892772689*x**12 + 2392764014550*x**11 - 2075088619396*x**10 + 1109880823012*x**9 - 2154826658569*x**8 + 1277472838486*x**7 - 306646918526*x**6 + 1040657895562*x**5 - 213545350459*x**4 + 28810264660*x**3 - 266681428390*x**2 - 66169216042*x - 43440381319,1,-46*x**5 - 89*x**4 + 70*x**3 + 36*x**2 + 26*x - 99,-91*x**3 + 65*x**2 + 19*x + 62
-32000000*x**15 - 40000000*x**14 - 700000000*x**13 - 1149960000*x**12 - 6500585000*x**11 - 12456211250*x**10 - 34309650250*x**9 - 66272436750*x**8 - 113997925500*x**7 - 184072692000*x**6 - 232493523000*x**5 - 255420001125*x**4 - 235375186700*x**3 - 144465418675*x**2 - 48340070350*x - 6596208861,1,10*x**5 + 44*x**4 - 98*x**3 - 75*x**2 - 72*x - 70,-20*x**3 - 5*x**2 - 85*x - 59
29524500000*x**15 + 90213750000*x**14 + 49572000000*x**13 - 210418155000*x**12 - 381929658750*x**11 - 38592707125*x**10 + 526071137375*x**9 + 491748436425*x**8 - 140952402600*x**7 - 500062965985*x**6 - 211223326815*x**5 + 156028305297*x**4 + 171642377206*x**3 + 19722185552*x**2 - 35911027692*x - 15327564549,1,5*x**5 + 2*x**4 + 40*x**3 - 74*x**2 - 9*x - 33,90*x**3 + 55*x**2 - 37*x - 79
-149751036133*x**15 + 580021618825*x**14 - 1679017766760*x**13 + 4002196658633*x**12 - 7457569136065*x**11 + 12172273293383*x**10 - 17265173011813*x**9 + 21048914040848*x**8 - 22964890787431*x**7 + 21857587632001*x**6 - 17983667153646*x**5 + 13069294500902*x**4 - 7898168174946*x**3 + 3860151753578*x**2 - 1543406397836*x + 351203442819,1,-83*x**5 + 83*x**4 + 75*x**3 - 50*x**2 - 46*x + 75,71*x**3 - 55*x**2 + 74*x - 84
-5550606*x**15 + 37004040*x**14 + 188103870*x**13 - 1703417121*x**12 - 1326263868*x**11 + 30379792932*x**10 - 23795364816*x**9 - 251705167686*x**8 + 457040443086*x**7 + 808195402242*x**6 - 2729988689454*x**5 + 787616333091*x**4 + 4973126581530*x**3 - 7360985557842*x**2 + 4209768993738*x - 896842666578,1,-94*x**5 - 31*x**4 + 68*x**3 - 16*x**2 + 44*x + 87,9*x**3 - 12*x**2 - 93*x + 99
-488452502286*x**15 + 2470334494320*x**14 - 4014938886210*x**13 + 3773872306548*x**12 - 8216382834348*x**11 + 11052433284752*x**10 - 5020940542087*x**9 + 10341859312736*x**8 - 11615593399817*x**7 + 235654882637*x**6 - 8096938989803*x**5 + 4422868075546*x**4 + 2106887362326*x**3 + 4719793836861*x**2 + 1455085990645*x + 797993954940,1,-98*x**5 - 12*x**4 + 59*x**3 + 13*x**2 - 71*x - 36,87*x**3 - 88*x**2 - 35*x - 96
55574528*x**15 + 1667235840*x**14 + 20962017280*x**13 + 143995502592*x**12 + 597730992128*x**11 + 1612282920960*x**10 + 3122236755456*x**9 + 4764330640896*x**8 + 5690441378704*x**7 + 5651877590816*x**6 + 4476161043251*x**5 + 2981671295173*x**4 + 1530288157323*x**3 + 649265351483*x**2 + 180344696015*x + 38894993626,1,53*x**5 + 82*x**4 + 51*x**3 - 26*x**2 - 29*x + 65,16*x**3 + 96*x**2 + 55*x + 59
55884102752*x**15 - 216325559040*x**14 + 524240568480*x**13 - 1038531081344*x**12 + 1635344301504*x**11 - 2179792140288*x**10 + 2542769950552*x**9 - 2548914458688*x**8 + 2250371260152*x**7 - 1751577446704*x**6 + 1171287630120*x**5 - 685098396384*x**4 + 339899552056*x**3 - 133866708144*x**2 + 43132231632*x - 8799538446,1,-61*x**5 + 51*x**4 - 79*x**3 - 57*x**2 + 96*x + 44,-62*x**3 + 48*x**2 - 42*x + 43
-106932384*x**15 + 1521730080*x**14 - 10368961200*x**13 + 42973785088*x**12 - 116285919568*x**11 + 202214811280*x**10 - 192564156704*x**9 + 2934301336*x**8 + 220248703082*x**7 - 188470781994*x**6 - 68644959885*x**5 + 147499482022*x**4 + 14037448611*x**3 - 69385099013*x**2 - 31748789571*x - 4125008909,1,9*x**5 - 47*x**4 - 65*x**3 - 26*x**2 + 15*x - 41,-26*x**3 + 74*x**2 - 83*x - 53
6800000*x**15 - 27200000*x**14 - 248880000*x**13 + 985844000*x**12 + 3648454400*x**11 - 14070653824*x**10 - 26448700680*x**9 + 97741282208*x**8 + 89318234984*x**7 - 322482075372*x**6 - 61392565816*x**5 + 371877285224*x**4 - 254232830346*x**3 + 77436757308*x**2 - 11402482946*x + 662440335,1,-68*x**5 - 2*x**4 + 53*x**3 - 24*x**2 - 86*x + 60,-10*x**3 + 8*x**2 + 86*x - 25
-10101630528*x**15 - 13094706240*x**14 + 83937759840*x**13 + 64854184464*x**12 - 318076693344*x**11 - 60880788512*x**10 + 641931045032*x**9 - 217526510864*x**8 - 603919024856*x**7 + 531579672544*x**6 + 67317242332*x**5 - 303788520221*x**4 + 183838967887*x**3 - 53507743443*x**2 + 7915043054*x - 478297081,1,-22*x**5 - 41*x**4 + 81*x**3 - 36*x**2 + 49*x + 64,54*x**3 + 14*x**2 - 97*x + 29
-559607373*x**15 + 5596073730*x**14 - 31607453475*x**13 + 121518767619*x**12 - 350648196642*x**11 + 788126373144*x**10 - 1413369574614*x**9 + 2035684474938*x**8 - 2355445696257*x**7 + 2163939298002*x**6 - 1547067228279*x**5 + 829923429491*x**4 - 316133149183*x**3 + 79280639298*x**2 - 11595564805*x + 744066107,1,39*x**5 - 76*x**4 - 86*x**3 - 24*x**2 + 76*x + 86,-27*x**3 + 54*x**2 - 89*x + 29
448772400000*x**15 + 2069339400000*x**14 + 3966372360000*x**13 + 5765138712000*x**12 + 8653119010200*x**11 + 9916771376468*x**10 + 9278503808880*x**9 + 9511692396430*x**8 + 7471203163770*x**7 + 4916878237965*x**6 + 4028362346286*x**5 + 1929126087918*x**4 + 965750362542*x**3 + 679779668841*x**2 + 48520985058*x + 109849191190,1,-76*x**5 - 30*x**4 + 25*x**3 - 98*x**2 + 69*x - 54,-90*x**3 - 83*x**2 - 6*x - 68
-237479362560*x**15 + 134931456000*x**14 - 1258542489600*x**13 + 1843219321856*x**12 - 3217353898880*x**11 + 6273439451168*x**10 - 7305964897136*x**9 + 9972175135424*x**8 - 11958197295536*x**7 + 10870048500714*x**6 - 10589785431547*x**5 + 8688405992609*x**4 - 5372581955965*x**3 + 3376280611473*x**2 - 1666437492629*x + 347870421256,1,45*x**5 - 4*x**4 - 7*x**3 + 88*x**2 + 99*x - 99,-88*x**3 + 10*x**2 - 91*x + 95
58712321792*x**15 + 231101692160*x**14 + 123391559040*x**13 - 732489131392*x**12 - 1211558768768*x**11 + 363262826624*x**10 + 2298337350976*x**9 + 1225961517248*x**8 - 1587459901904*x**7 - 1966554568476*x**6 + 5473426736*x**5 + 1044804521792*x**4 + 464811537948*x**3 - 133165157603*x**2 - 151653511856*x - 32975627752,1,8*x**5 - 32*x**4 - 96*x**3 + 69*x**2 + 38*x - 75,94*x**3 + 74*x**2 - 77*x - 83
-665693034930*x**15 + 1243971832950*x**14 - 1434150436950*x**13 - 2125684935495*x**12 + 4183969651290*x**11 - 4378903431140*x**10 - 3488063875536*x**9 + 5714569529849*x**8 - 5037346783002*x**7 - 3720901984444*x**6 + 3723670469466*x**5 - 2526729409979*x**4 - 2276045717250*x**3 + 960035968630*x**2 - 445672080600*x - 570401265472,1,70*x**5 + 5*x**4 + 74*x**3 + 46*x**2 + 40*x - 64,-99*x**3 + 37*x**2 - 15*x - 96
